COORDINATION STATS (T=total B=bulk S=surface So=surface only G=generalised coordination number)
      Frame,       Type,  Avg Total,   Avg Bulk,   Avg Surf,  Avg Surfo, Avg GTotal,  Avg GBulk,  Avg GSurf, Avg GSurfo,         T0,         T1,         T2,         T3,         T4,         T5,         T6,         T7,         T8,         T9,        T10,        T11,        T12,        T13,        T14,        T15,        T16,        T17,        T18,        T19,        T20,         B0,         B1,         B2,         B3,         B4,         B5,         B6,         B7,         B8,         B9,        B10,        B11,        B12,        B13,        B14,        B15,        B16,        B17,        B18,        B19,        B20,         S0,         S1,         S2,         S3,         S4,         S5,         S6,         S7,         S8,         S9,        S10,        S11,        S12,        S13,        S14,        S15,        S16,        S17,        S18,        S19,        S20,        S0o,        S1o,        S2o,        S3o,        S4o,        S5o,        S6o,        S7o,        S8o,        S9o,       S10o,       S11o,       S12o,       S13o,       S14o,       S15o,       S16o,       S17o,       S18o,       S19o,       S20o,        GT0,        GT1,        GT2,        GT3,        GT4,        GT5,        GT6,        GT7,        GT8,        GT9,       GT10,       GT11,       GT12,       GT13,       GT14,       GT15,       GT16,       GT17,       GT18,       GT19,       GT20,        GB0,        GB1,        GB2,        GB3,        GB4,        GB5,        GB6,        GB7,        GB8,        GB9,       GB10,       GB11,       GB12,       GB13,       GB14,       GB15,       GB16,       GB17,       GB18,       GB19,       GB20,        GS0,        GS1,        GS2,        GS3,        GS4,        GS5,        GS6,        GS7,        GS8,        GS9,       GS10,       GS11,       GS12,       GS13,       GS14,       GS15,       GS16,       GS17,       GS18,       GS19,       GS20,       GS0o,       GS1o,       GS2o,       GS3o,       GS4o,       GS5o,       GS6o,       GS7o,       GS8o,       GS9o,      GS10o,      GS11o,      GS12o,      GS13o,      GS14o,      GS15o,      GS16o,      GS17o,      GS18o,      GS19o,      GS20o
          1,      Total,  10.032362,  12.013605,   8.234568,   5.925926,   8.711974,  11.267007,   6.393519,   5.864198,          0,          0,          0,          0,          0,          0,         12,          0,         88,         62,          0,          0,        145,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        145,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,          0,         88,         62,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,        150,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,         55,         33,         62,          0,         12,         59,         71,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,         59,         71,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,         55,         33,         62,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,        150,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          1,          1,   9.896774,  12.029851,   8.272727,   5.931818,   8.547312,  11.335821,   6.424242,   5.871212,          0,          0,          0,          0,          0,          0,          6,          0,         46,         36,          0,          0,         65,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         65,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          0,         46,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,         82,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,         30,         16,         36,          0,          5,         26,         31,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         26,         31,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,         30,         16,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,         82,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          1,          2,  10.168831,  12.000000,   8.189189,   5.918919,   8.877706,  11.209375,   6.356982,   5.855856,          0,          0,          0,          0,          0,          0,          6,          0,         42,         26,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          0,         42,         26,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,         68,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,         25,         17,         26,          0,          7,         33,         40,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,         33,         40,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,         25,         17,         26,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,         68,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
