SURFACE LAYER - Geometry
      Frame,       Rmin,       Rmax,       Rdif,       Ravg,       Rstd,      Rskew,      Rkurt,    N Total,     N Surf
         60,   8.706466,  14.117511,   5.411045,  11.252673,   0.975866,   0.147944,   0.252734,        561,        251
         61,   8.798927,  13.387188,   4.588262,  11.263530,   0.839923,   0.123594,  -0.056870,        561,        252
         62,   7.487070,  13.725114,   6.238044,  11.276857,   0.920431,  -0.369964,   0.472826,        561,        252
         63,   4.231485,  13.420372,   9.188887,  11.218619,   0.923874,  -1.758850,  11.729561,        561,        255
         64,   8.989705,  13.343499,   4.353794,  11.288280,   0.840662,  -0.209142,  -0.156646,        561,        252
         65,   6.968414,  13.136586,   6.168172,  11.206312,   0.870417,  -0.750871,   1.805888,        561,        256
         66,   8.855094,  14.248406,   5.393312,  11.301876,   0.919994,   0.155973,   0.272553,        561,        253
         67,   2.567057,  13.269806,  10.702749,  11.163900,   1.289748,  -3.459491,  19.586225,        561,        254
         68,   2.367459,  13.916860,  11.549402,  11.213658,   1.212232,  -2.339388,  15.025212,        561,        256
         69,   6.817047,  13.437778,   6.620731,  11.256219,   0.969299,  -0.637975,   2.243209,        561,        255
         70,   5.996643,  14.214564,   8.217921,  11.246816,   1.191170,  -0.506412,   1.846976,        561,        264
         71,   5.383780,  13.695752,   8.311972,  11.273988,   1.150265,  -1.170937,   4.282622,        561,        264
         72,   2.957429,  13.426174,  10.468745,  11.170954,   1.193867,  -2.023020,   9.718918,        561,        266
         73,   5.748153,  13.767926,   8.019773,  11.202738,   0.973643,  -1.019088,   4.597877,        561,        267
         74,   7.156860,  13.866114,   6.709255,  11.246936,   1.024222,  -0.426846,   0.951248,        561,        264
         75,   2.192809,  13.702621,  11.509812,  11.246145,   1.188133,  -2.639894,  15.407602,        561,        258
         76,   8.977065,  13.228661,   4.251596,  11.290284,   0.859469,  -0.107889,  -0.595381,        561,        257
         77,   7.309218,  14.149963,   6.840745,  11.302179,   1.117928,  -0.384550,   0.356131,        561,        261
         78,   6.319647,  14.457231,   8.137584,  11.320882,   1.027705,  -0.596203,   3.391561,        561,        260
         79,   3.747419,  13.725765,   9.978346,  11.271100,   1.080916,  -1.910836,  10.883863,        561,        255
         80,   3.185263,  13.728264,  10.543001,  11.236125,   1.217592,  -2.158838,  11.446846,        561,        267
         81,   3.343302,  13.545646,  10.202344,  11.258170,   1.114728,  -2.775488,  15.596748,        561,        260
         82,   5.788038,  13.672230,   7.884192,  11.290627,   1.146128,  -0.765139,   1.698245,        561,        266
         83,   5.103984,  14.161930,   9.057946,  11.243386,   1.285391,  -1.046066,   3.308202,        561,        269
         84,   4.746104,  14.017768,   9.271664,  11.223108,   1.295456,  -1.202518,   3.440821,        561,        263
