Q6Q6 BOND COORDINATION
      Frame,  Avg Total,   Avg Bulk,   Avg Surf,         T0,         T1,         T2,         T3,         T4,         T5,         T6,         T7,         T8,         T9,        T10,        T11,        T12,        T13,        T14,        T15,        T16,        T17,        T18,        T19,        T20,       T>20,         B0,         B1,         B2,         B3,         B4,         B5,         B6,         B7,         B8,         B9,        B10,        B11,        B12,        B13,        B14,        B15,        B16,        B17,        B18,        B19,        B20,       B>20,         S0,         S1,         S2,         S3,         S4,         S5,         S6,         S7,         S8,         S9,        S10,        S11,        S12,        S13,        S14,        S15,        S16,        S17,        S18,        S19,        S20,       S>20
         14,   6.923351,  12.025316,   3.191358,        143,         61,         47,         44,         17,          7,         10,          9,          4,         13,         17,          7,          9,         10,         16,         22,         21,         36,         61,          5,          1,          1,         28,         15,         14,          7,          6,          2,          0,          0,          0,          0,          0,          1,          1,          6,         12,         20,         21,         36,         61,          5,          1,          1,        115,         46,         33,         37,         11,          5,         10,          9,          4,         13,         17,          6,          8,          4,          4,          2,          0,          0,          0,          0,          0,          0
         15,   6.531194,  11.732759,   2.863222,        146,         78,         45,         37,         15,          3,         12,         13,         10,          8,         13,          9,          8,         17,         16,         22,         26,         24,         51,          7,          1,          0,         39,         19,          2,          5,          2,          0,          0,          0,          0,          0,          0,          0,          4,         16,         15,         21,         26,         24,         51,          7,          1,          0,        107,         59,         43,         32,         13,          3,         12,         13,         10,          8,         13,          9,          4,          1,          1,          1,          0,          0,          0,          0,          0,          0
         16,   6.484848,  11.886463,   2.759036,        166,         64,         39,         31,         19,          8,         12,          8,          8,         15,         11,         18,          9,          5,         13,         22,         22,         33,         52,          3,          2,          1,         36,         14,          5,          5,          4,          0,          0,          1,          0,          2,          1,          5,          5,          4,         12,         22,         22,         33,         52,          3,          2,          1,        130,         50,         34,         26,         15,          8,         12,          7,          8,         13,         10,         13,          4,          1,          1,          0,          0,          0,          0,          0,          0,          0
         17,   6.267380,  11.073770,   2.567823,        157,         74,         54,         29,         21,          4,          7,         11,          8,         14,         11,          5,          7,         17,         14,         24,         22,         28,         46,          8,          0,          0,         41,         17,         10,          7,          4,          0,          0,          0,          0,          3,          3,          0,          6,         15,         12,         23,         22,         27,         46,          8,          0,          0,        116,         57,         44,         22,         17,          4,          7,         11,          8,         11,          8,          5,          1,          2,          2,          1,          0,          1,          0,          0,          0,          0
         18,   6.399287,  11.937500,   2.718101,        172,         53,         45,         36,         20,          4,          7,         13,          7,         13,         11,         10,         15,         17,         18,         14,         21,         27,         50,          5,          3,          0,         40,         10,          3,          5,          2,          0,          0,          0,          0,          0,          0,          3,          8,         16,         17,         14,         21,         27,         50,          5,          3,          0,        132,         43,         42,         31,         18,          4,          7,         13,          7,         13,         11,          7,          7,          1,          1,          0,          0,          0,          0,          0,          0,          0
         19,   6.356506,  11.656522,   2.673716,        168,         61,         41,         38,         18,          9,          9,         11,          6,          8,         18,         11,          6,         11,         18,         25,         24,         18,         52,          8,          1,          0,         40,          9,          8,          6,          3,          0,          0,          0,          0,          2,          5,          2,          2,         10,         16,         24,         24,         18,         52,          8,          1,          0,        128,         52,         33,         32,         15,          9,          9,         11,          6,          6,         13,          9,          4,          1,          2,          1,          0,          0,          0,          0,          0,          0
         20,   6.356506,  11.474138,   2.747720,        177,         57,         40,         27,         18,          9,         12,         10,         14,         10,          7,         13,         13,         10,         20,         27,         16,         22,         50,          8,          0,          1,         48,          6,          7,          3,          4,          0,          0,          0,          1,          3,          0,          4,          6,          6,         20,         27,         16,         22,         50,          8,          0,          1,        129,         51,         33,         24,         14,          9,         12,         10,         13,          7,          7,          9,          7,          4,          0,          0,          0,          0,          0,          0,          0,          0
         21,   6.267380,  10.987654,   2.660377,        166,         65,         51,         22,         25,          6,          8,         11,         11,         15,         11,          8,          8,          9,         21,         24,         22,         23,         50,          3,          2,          0,         43,         16,         11,          3,          6,          0,          0,          0,          0,          2,          4,          5,          5,          8,         18,         22,         22,         23,         50,          3,          2,          0,        123,         49,         40,         19,         19,          6,          8,         11,         11,         13,          7,          3,          3,          1,          3,          2,          0,          0,          0,          0,          0,          0
         22,   6.160428,  10.987552,   2.525000,        168,         67,         56,         21,         16,          8,          9,         13,         10,         10,         10,          9,          8,         14,         27,         23,         24,         18,         45,          5,          0,          0,         36,         19,         13,          5,          4,          0,          0,          1,          0,          1,          2,          3,          6,         11,         26,         23,         23,         18,         45,          5,          0,          0,        132,         48,         43,         16,         12,          8,          9,         12,         10,          9,          8,          6,          2,          3,          1,          0,          1,          0,          0,          0,          0,          0
         23,   5.946524,  10.663934,   2.315457,        170,         76,         54,         23,         19,          7,          6,          7,         10,         10,          7,         12,         14,         24,         16,         13,         22,         22,         43,          4,          2,          0,         48,         19,          5,          3,          4,          0,          0,          1,          1,          2,          0,          6,         12,         22,         16,         13,         21,         22,         43,          4,          2,          0,        122,         57,         49,         20,         15,          7,          6,          6,          9,          8,          7,          6,          2,          2,          0,          0,          1,          0,          0,          0,          0,          0
         24,   5.600713,  10.095436,   2.215625,        182,         73,         47,         26,         16,         12,          8,          9,         10,         15,          3,         11,         14,         18,         25,         20,         15,         22,         35,          0,          0,          0,         50,         17,         10,          2,          0,          1,          2,          1,          0,          7,          2,          6,         10,         18,         24,         20,         15,         21,         35,          0,          0,          0,        132,         56,         37,         24,         16,         11,          6,          8,         10,          8,          1,          5,          4,          0,          1,          0,          0,          1,          0,          0,          0,          0
         25,   6.003565,  10.891213,   2.375776,        183,         56,         47,         27,         22,          7,          9,          8,         10,         11,         10,         13,         14,         13,         25,         22,         15,         23,         42,          3,          0,          1,         39,         12,         13,          7,          3,          0,          0,          1,          2,          3,          1,          7,          9,         12,         24,         22,         15,         23,         42,          3,          0,          1,        144,         44,         34,         20,         19,          7,          9,          7,          8,          8,          9,          6,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0
         26,   5.540107,  10.740088,   2.005988,        186,         81,         42,         23,         10,          7,         13,         12,         11,         17,          9,         12,         11,         13,         19,         19,         16,         20,         36,          2,          2,          0,         42,          9,          8,          4,          1,          0,          3,          3,          3,          6,          2,         10,          9,         13,         19,         19,         16,         20,         36,          2,          2,          0,        144,         72,         34,         19,          9,          7,         10,          9,          8,         11,          7,          2,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0
         27,   5.600713,  10.636752,   1.996942,        195,         71,         48,         19,         10,         10,          6,         14,         10,         11,         11,         10,          9,         17,         20,         19,         18,         24,         36,          3,          0,          0,         43,         13,          9,          6,          1,          2,          0,          1,          2,          0,          5,         10,          9,         13,         20,         19,         18,         24,         36,          3,          0,          0,        152,         58,         39,         13,          9,          8,          6,         13,          8,         11,          6,          0,          0,          4,          0,          0,          0,          0,          0,          0,          0,          0
         28,   5.504456,  10.450216,   2.042424,        183,         78,         54,         20,         13,          9,          8,         12,         10,          7,         17,          8,         21,         12,         14,         17,         17,         25,         32,          1,          2,          1,         49,         11,          6,          2,          1,          2,          0,          1,          3,          2,         12,          7,         17,          9,         14,         17,         17,         25,         32,          1,          2,          1,        134,         67,         48,         18,         12,          7,          8,         11,          7,          5,          5,          1,          4,          3,          0,          0,          0,          0,          0,          0,          0,          0
         29,   4.919786,   9.826087,   1.510574,        228,         78,         35,         14,          8,         14,         12,          8,          6,          7,         12,         13,         15,         17,         11,         13,         15,         21,         27,          7,          0,          0,         47,         17,          7,          3,          3,          2,          3,          2,          1,          3,          8,         10,         14,         16,         11,         13,         15,         21,         27,          7,          0,          0,        181,         61,         28,         11,          5,         12,          9,          6,          5,          4,          4,          3,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0
