SURFACE LAYER - Packing classification (class v no of particles)
      Frame,        100,        111,        110,        311
          1,         59,         32,          1,         25
          2,         62,         30,          0,         27
          3,         60,         32,          2,         20
          4,         57,         32,          1,         22
          5,         62,         30,          0,         28
          6,         62,         30,          0,         19
          7,         57,         31,          0,         18
          8,         56,         31,          1,         16
          9,         53,         28,          2,         16
         10,         53,         31,          2,         20
         11,         49,         29,          2,         17
         12,         54,         28,          1,         19
         13,         54,         30,          1,         17
         14,         51,         31,          2,         12
         15,         52,         28,          2,         16
         16,         48,         26,          1,         14
         17,         38,         24,          2,         13
         18,         42,         32,          2,         12
         19,         39,         20,          5,          7
         20,         48,         28,          5,         10
         21,         35,         25,          6,          7
         22,         26,         22,          4,          8
         23,         22,         20,          4,          6
         24,         25,         25,         12,          6
         25,         26,         23,          8,          8
         26,         11,         21,          8,          6
         27,          6,         22,         18,          3
         28,          6,         15,         13,          3
         29,          2,         10,          8,          8
         30,          2,         15,         15,          8
         31,          6,         14,         14,          4
         32,          1,         11,         11,          5
         33,          3,         12,         11,          5
         34,          0,          5,         14,          3
         35,          8,          6,         10,          1
         36,          1,          7,         16,          0
         37,          1,          8,         11,          3
         38,          3,          3,          8,          3
         39,          2,          2,          5,          3
         40,          0,          5,          8,          4
         41,          1,          2,         12,          4
         42,          0,          0,          9,          6
         43,          1,          1,         13,          1
         44,          1,          9,         12,          5
         45,          0,          1,         16,          7
         46,          2,          2,         14,          2
         47,          1,          2,         10,          3
         48,          1,          1,         12,          1
         49,          2,          3,          4,          4
         50,          0,          2,         10,          3
         51,          0,          1,         11,          4
         52,          0,          1,          9,          3
         53,          0,          4,          9,          3
         54,          1,          2,         14,          4
         55,          1,          1,          5,          1
         56,          2,          1,          4,          4
         57,          0,          3,          9,          4
         58,          0,          1,         12,          2
         59,          0,          2,          8,          2
         60,          2,          1,          4,          2
         61,          0,          1,          9,          1
         62,          0,          0,          6,          4
         63,          1,          0,          7,          2
         64,          2,          0,          9,          1
         65,          3,          0,         13,          3
         66,          2,          1,          3,          1
         67,          0,          0,          6,          6
         68,          3,          1,          3,          4
         69,          0,          2,         11,          3
         70,          0,          0,          4,          2
         71,          1,          0,         12,          3
         72,          3,          0,          6,          2
         73,          0,          1,          8,          4
         74,          0,          0,          6,          2
         75,          1,          1,          5,          1
         76,          0,          0,          8,          7
         77,          3,          1,          4,          3
         78,          0,          1,          8,          3
         79,          1,          0,         10,          1
         80,          2,          0,          4,          2
         81,          2,          0,          5,          3
         82,          1,          1,          4,          2
         83,          1,          2,          8,          3
         84,          1,          0,          2,          3
         85,          0,          0,          2,          3
         86,          0,          3,          8,          6
         87,          0,          0,          5,          5
         88,          1,          0,          2,          2
         89,          1,          0,          3,          0
         90,          0,          0,          3,          4
         91,          0,          0,          4,          0
         92,          0,          0,          7,          1
         93,          0,          0,          8,          3
         94,          0,          1,          3,          3
         95,          2,          0,          3,          1
         96,          0,          1,          4,          1
         97,          2,          0,          1,          2
         98,          1,          0,          5,          0
         99,          2,          0,          4,          3
        100,          0,          0,          1,          2
        101,          1,          0,          5,          5
