ANGULAR DISTRIBUTION - blocks for each frame with 1st line being total g3(theta) beginning with frame number
      Frame,      Type1,      Type2,      Type3,     Angles,        Avg,    Std Dev,          1,          2,          3,          4,          5,          6,          7,          8,          9,         10,         11,         12,         13,         14,         15,         16,         17,         18,         19,         20,         21,         22,         23,         24,         25,         26,         27,         28,         29,         30,         31,         32,         33,         34,         35,         36,         37,         38,         39,         40,         41,         42,         43,         44,         45,         46,         47,         48,         49,         50,         51,         52,         53,         54,         55,         56,         57,         58,         59,         60,         61,         62,         63,         64,         65,         66,         67,         68,         69,         70,         71,         72,         73,         74,         75,         76,         77,         78,         79,         80,         81,         82,         83,         84,         85,         86,         87,         88,         89,         90,         91,         92,         93,         94,         95,         96,         97,         98,         99,        100,        101,        102,        103,        104,        105,        106,        107,        108,        109,        110,        111,        112,        113,        114,        115,        116,        117,        118,        119,        120,        121,        122,        123,        124,        125,        126,        127,        128,        129,        130,        131,        132,        133,        134,        135,        136,        137,        138,        139,        140,        141,        142,        143,        144,        145,        146,        147,        148,        149,        150,        151,        152,        153,        154,        155,        156,        157,        158,        159,        160,        161,        162,        163,        164,        165,        166,        167,        168,        169,        170,        171,        172,        173,        174,        175,        176,        177,        178,        179,        180
          1,      Total,      Total,      Total,      19942,  97.260806,  33.550399,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000351,   0.000351,   0.000852,   0.001805,   0.003310,   0.003560,   0.005817,   0.008274,   0.011132,   0.013690,   0.016698,   0.017852,   0.019958,   0.021262,   0.021161,   0.022164,   0.020008,   0.020008,   0.016749,   0.017701,   0.014492,   0.013690,   0.012887,   0.011383,   0.011333,   0.008575,   0.009929,   0.008976,   0.008725,   0.006870,   0.006168,   0.006870,   0.006118,   0.005917,   0.006168,   0.004513,   0.005566,   0.006669,   0.007622,   0.006770,   0.009377,   0.008725,   0.009227,   0.008274,   0.010230,   0.008124,   0.009377,   0.007722,   0.007522,   0.008976,   0.009177,   0.006519,   0.007522,   0.007271,   0.005666,   0.006569,   0.006168,   0.005265,   0.006419,   0.006619,   0.008073,   0.006519,   0.007271,   0.007923,   0.008224,   0.009628,   0.009477,   0.010280,   0.011834,   0.011935,   0.012787,   0.014241,   0.014041,   0.013088,   0.013640,   0.014091,   0.012887,   0.011533,   0.012687,   0.011584,   0.012737,   0.010932,   0.009979,   0.008826,   0.007923,   0.007572,   0.007773,   0.007472,   0.005416,   0.006770,   0.005215,   0.004914,   0.004563,   0.004313,   0.003059,   0.003861,   0.002507,   0.002206,   0.002357,   0.002758,   0.002156,   0.001705,   0.002056,   0.001504,   0.001805,   0.001906,   0.001906,   0.001605,   0.001705,   0.001755,   0.001605,   0.002106,   0.002106,   0.002156,   0.002808,   0.002758,   0.002808,   0.003259,   0.003009,   0.003560,   0.003159,   0.003009,   0.003761,   0.004212,   0.003410,   0.003911,   0.003410,   0.004162,   0.003410,   0.003861,   0.002658,   0.002507,   0.002257,   0.001254,   0.001003,   0.000150
          1,          1,          1,          1,        242,  92.723140,  31.573766,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000100,   0.000050,   0.000351,   0.000251,   0.000150,   0.000501,   0.000150,   0.000251,   0.000301,   0.000301,   0.000401,   0.000401,   0.000351,   0.000301,   0.000501,   0.000251,   0.000301,   0.000451,   0.000201,   0.000000,   0.000000,   0.000100,   0.000000,   0.000100,   0.000201,   0.000050,   0.000150,   0.000150,   0.000100,   0.000100,   0.000150,   0.000000,   0.000000,   0.000000,   0.000050,   0.000050,   0.000000,   0.000100,   0.000100,   0.000050,   0.000050,   0.000100,   0.000000,   0.000000,   0.000100,   0.000150,   0.000000,   0.000100,   0.000050,   0.000150,   0.000150,   0.000050,   0.000100,   0.000150,   0.000150,   0.000100,   0.000050,   0.000201,   0.000000,   0.000000,   0.000150,   0.000150,   0.000050,   0.000150,   0.000050,   0.000201,   0.000050,   0.000100,   0.000050,   0.000150,   0.000201,   0.000050,   0.000201,   0.000000,   0.000050,   0.000100,   0.000150,   0.000100,   0.000100,   0.000050,   0.000050,   0.000100,   0.000100,   0.000050,   0.000050,   0.000100,   0.000050,   0.000000,   0.000000,   0.000000,   0.000050,   0.000000,   0.000000,   0.000000,   0.000000,   0.000100,   0.000000,   0.000000,   0.000050,   0.000000,   0.000000,   0.000000,   0.000050,   0.000050,   0.000050,   0.000050,   0.000050,   0.000050,   0.000050,   0.000050,   0.000000,   0.000000,   0.000050,   0.000000,   0.000000,   0.000050,   0.000000,   0.000000,   0.000000,   0.000050,   0.000000,   0.000100,   0.000000,   0.000000,   0.000000,   0.000000
          1,          1,          1,          2,          0,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000050,   0.000050,   0.000201,   0.000401,   0.000501,   0.000802,   0.000652,   0.000852,   0.001103,   0.001404,   0.001705,   0.001304,   0.000903,   0.001304,   0.001103,   0.001605,   0.001354,   0.001254,   0.001003,   0.000752,   0.000802,   0.000752,   0.000752,   0.000903,   0.001203,   0.000451,   0.000652,   0.000652,   0.000251,   0.000552,   0.000652,   0.000301,   0.000552,   0.000501,   0.000401,   0.000401,   0.000852,   0.000451,   0.000552,   0.000602,   0.000301,   0.000251,   0.000451,   0.000301,   0.000501,   0.000852,   0.000652,   0.000451,   0.000702,   0.000702,   0.000301,   0.000552,   0.000451,   0.000301,   0.000401,   0.000401,   0.000802,   0.000301,   0.000501,   0.000401,   0.000251,   0.000401,   0.000602,   0.000602,   0.000501,   0.000501,   0.000752,   0.000552,   0.000602,   0.000501,   0.000602,   0.001003,   0.000702,   0.001003,   0.000501,   0.000652,   0.000953,   0.000852,   0.000552,   0.000501,   0.000451,   0.000602,   0.000602,   0.000752,   0.000602,   0.000451,   0.000552,   0.000451,   0.000401,   0.000401,   0.000401,   0.000351,   0.000251,   0.000301,   0.000201,   0.000050,   0.000301,   0.000251,   0.000301,   0.000050,   0.000201,   0.000100,   0.000201,   0.000050,   0.000100,   0.000100,   0.000100,   0.000050,   0.000251,   0.000150,   0.000351,   0.000100,   0.000150,   0.000301,   0.000150,   0.000201,   0.000150,   0.000150,   0.000100,   0.000201,   0.000000,   0.000150,   0.000251,   0.000100,   0.000050,   0.000150,   0.000150,   0.000000,   0.000100,   0.000050,   0.000000,   0.000000
          1,          1,          2,          2,       2427,  98.870622,  32.176080,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000050,   0.000100,   0.000050,   0.000201,   0.000351,   0.000752,   0.000802,   0.001304,   0.002608,   0.002206,   0.002808,   0.002858,   0.003159,   0.003510,   0.002658,   0.003460,   0.002457,   0.002959,   0.002407,   0.002307,   0.001655,   0.001605,   0.001354,   0.001354,   0.000802,   0.001053,   0.000852,   0.000953,   0.000702,   0.000501,   0.000501,   0.000752,   0.000852,   0.000903,   0.000552,   0.000802,   0.000702,   0.000752,   0.001203,   0.000852,   0.001404,   0.000652,   0.000903,   0.000953,   0.000852,   0.000953,   0.001203,   0.001254,   0.000752,   0.001003,   0.001003,   0.000752,   0.000702,   0.000752,   0.001153,   0.000702,   0.001053,   0.000953,   0.000802,   0.001254,   0.000802,   0.000552,   0.001404,   0.001254,   0.001153,   0.001203,   0.001454,   0.001053,   0.001755,   0.001354,   0.001404,   0.001254,   0.001103,   0.001304,   0.001454,   0.001404,   0.001404,   0.001304,   0.001354,   0.001003,   0.001103,   0.001203,   0.001103,   0.000903,   0.000652,   0.000903,   0.000552,   0.000852,   0.000852,   0.000702,   0.000401,   0.000401,   0.000602,   0.000752,   0.000652,   0.000201,   0.000301,   0.000301,   0.000451,   0.000301,   0.000251,   0.000301,   0.000351,   0.000351,   0.000351,   0.000301,   0.000301,   0.000401,   0.000201,   0.000401,   0.000552,   0.000451,   0.000552,   0.000401,   0.000201,   0.000251,   0.000451,   0.000150,   0.000401,   0.000251,   0.000351,   0.000201,   0.000201,   0.000301,   0.000201,   0.000251,   0.000201,   0.000000,   0.000150,   0.000050
          1,          2,          1,          1,       2440,  96.195902,  32.209575,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000050,   0.000150,   0.000501,   0.000552,   0.000953,   0.001254,   0.001705,   0.001755,   0.001906,   0.002507,   0.001906,   0.002908,   0.002808,   0.002758,   0.002206,   0.002156,   0.002407,   0.001404,   0.000953,   0.002156,   0.001555,   0.001404,   0.001053,   0.001454,   0.000903,   0.001203,   0.000903,   0.001153,   0.001053,   0.001203,   0.001103,   0.001103,   0.000652,   0.000903,   0.000752,   0.001203,   0.000903,   0.001203,   0.001354,   0.001254,   0.001003,   0.000852,   0.001404,   0.001003,   0.000953,   0.000752,   0.001655,   0.001655,   0.000903,   0.000852,   0.001203,   0.000903,   0.001003,   0.000652,   0.000802,   0.001003,   0.000953,   0.001454,   0.001003,   0.000903,   0.000852,   0.001003,   0.001404,   0.001354,   0.000953,   0.001354,   0.000953,   0.001454,   0.001053,   0.001053,   0.001404,   0.001203,   0.001605,   0.001555,   0.001354,   0.001254,   0.001203,   0.001354,   0.001153,   0.000903,   0.001053,   0.001203,   0.001203,   0.001053,   0.001404,   0.000652,   0.000953,   0.000953,   0.000552,   0.000802,   0.000351,   0.000251,   0.000501,   0.000501,   0.000150,   0.000351,   0.000301,   0.000100,   0.000201,   0.000351,   0.000201,   0.000201,   0.000301,   0.000150,   0.000201,   0.000251,   0.000050,   0.000150,   0.000351,   0.000201,   0.000301,   0.000652,   0.000351,   0.000251,   0.000552,   0.000150,   0.000251,   0.000401,   0.000251,   0.000451,   0.000301,   0.000401,   0.000201,   0.000301,   0.000251,   0.000351,   0.000351,   0.000351,   0.000251,   0.000150,   0.000050,   0.000150,   0.000050
          1,          2,          1,          2,          0,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000351,   0.000351,   0.000802,   0.001655,   0.002557,   0.002257,   0.003661,   0.004613,   0.006368,   0.006168,   0.007171,   0.007221,   0.007071,   0.007121,   0.005165,   0.006820,   0.005466,   0.005917,   0.004262,   0.003911,   0.003460,   0.003159,   0.003109,   0.003310,   0.003610,   0.002708,   0.004062,   0.003360,   0.003410,   0.002959,   0.002658,   0.002658,   0.002557,   0.001855,   0.002056,   0.001655,   0.002106,   0.002758,   0.002457,   0.002257,   0.003059,   0.002908,   0.003560,   0.003209,   0.003661,   0.002908,   0.003761,   0.002507,   0.002758,   0.003610,   0.002858,   0.002758,   0.002658,   0.002808,   0.001755,   0.002457,   0.002357,   0.001805,   0.002357,   0.002357,   0.002608,   0.002858,   0.002908,   0.002758,   0.003310,   0.003009,   0.003761,   0.003460,   0.004864,   0.004463,   0.004714,   0.006118,   0.005115,   0.004714,   0.005265,   0.005165,   0.004513,   0.004363,   0.004413,   0.004814,   0.005516,   0.003861,   0.003661,   0.003510,   0.003009,   0.002858,   0.003310,   0.002507,   0.002106,   0.002708,   0.002006,   0.001956,   0.001705,   0.001755,   0.001103,   0.001404,   0.000903,   0.000953,   0.000802,   0.001203,   0.000602,   0.000652,   0.000852,   0.000451,   0.000552,   0.000451,   0.000802,   0.000852,   0.000351,   0.000602,   0.000552,   0.001053,   0.000903,   0.000802,   0.000903,   0.001103,   0.001103,   0.001203,   0.001254,   0.001555,   0.001354,   0.001504,   0.001254,   0.002006,   0.001354,   0.001555,   0.001304,   0.002156,   0.001203,   0.001655,   0.000953,   0.001153,   0.000652,   0.000702,   0.000251,   0.000000
          1,          2,          2,          2,       6229,  96.193771,  33.907695,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000050,   0.000100,   0.000552,   0.000752,   0.001354,   0.002206,   0.002959,   0.004814,   0.006669,   0.007071,   0.008124,   0.009277,   0.008625,   0.008525,   0.007923,   0.007472,   0.005767,   0.005967,   0.005215,   0.004463,   0.003811,   0.002507,   0.002608,   0.001504,   0.001705,   0.001755,   0.001354,   0.001203,   0.000903,   0.001354,   0.001254,   0.001354,   0.001454,   0.001354,   0.001354,   0.001755,   0.002608,   0.002206,   0.003560,   0.003209,   0.003159,   0.002708,   0.004162,   0.002658,   0.002758,   0.003209,   0.002507,   0.001855,   0.003109,   0.001354,   0.002106,   0.001304,   0.001855,   0.001404,   0.001705,   0.001504,   0.001906,   0.002006,   0.001906,   0.001605,   0.001805,   0.002808,   0.002708,   0.003460,   0.002908,   0.004513,   0.003711,   0.004764,   0.004563,   0.005165,   0.005767,   0.005265,   0.004764,   0.004764,   0.004664,   0.003460,   0.005366,   0.003460,   0.003259,   0.003610,   0.003259,   0.002457,   0.001855,   0.001805,   0.001555,   0.001504,   0.000852,   0.001705,   0.001003,   0.000953,   0.001003,   0.000903,   0.000401,   0.000802,   0.000401,   0.000401,   0.000401,   0.000451,   0.000451,   0.000401,   0.000251,   0.000501,   0.000401,   0.000652,   0.000501,   0.000201,   0.000602,   0.000652,   0.000451,   0.000351,   0.000401,   0.000451,   0.000652,   0.000752,   0.000702,   0.000702,   0.000852,   0.001103,   0.001053,   0.000852,   0.001454,   0.001555,   0.001254,   0.001705,   0.001203,   0.001454,   0.001605,   0.001354,   0.001003,   0.000752,   0.001153,   0.000451,   0.000451,   0.000050
