COORDINATION STATS (T=total B=bulk S=surface So=surface only)
      Frame,       Type,  Avg Total,   Avg Bulk,   Avg Surf,  Avg Surfo,         T0,         T1,         T2,         T3,         T4,         T5,         T6,         T7,         T8,         T9,        T10,        T11,        T12,        T13,        T14,        T15,        T16,        T17,        T18,        T19,        T20,         B0,         B1,         B2,         B3,         B4,         B5,         B6,         B7,         B8,         B9,        B10,        B11,        B12,        B13,        B14,        B15,        B16,        B17,        B18,        B19,        B20,         S0,         S1,         S2,         S3,         S4,         S5,         S6,         S7,         S8,         S9,        S10,        S11,        S12,        S13,        S14,        S15,        S16,        S17,        S18,        S19,        S20,        S0o,        S1o,        S2o,        S3o,        S4o,        S5o,        S6o,        S7o,        S8o,        S9o,       S10o,       S11o,       S12o,       S13o,       S14o,       S15o,       S16o,       S17o,       S18o,       S19o,       S20o
          4,          1,  10.437736,  12.000000,   7.860000,   4.980000,          0,          0,          0,          0,          0,          4,          2,         30,         32,         32,          0,          4,        157,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,        157,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          2,         30,         32,         32,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         35,         29,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          4,          2,   6.364865,   7.979167,   4.835526,   2.657895,          0,          0,          0,          7,         62,         33,         49,          8,        133,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,        133,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,         62,         33,         49,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          2,         36,          8,         74,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          5,      Total,   8.285205,  10.119741,   6.035714,   3.587302,          0,          0,          0,          7,         60,         39,         50,         39,        169,         32,          0,          6,        154,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,        136,          2,          0,          6,        154,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,         60,         39,         50,         33,         33,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,          1,         33,          8,        113,         35,         31,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          5,          1,  10.430189,  11.993939,   7.850000,   4.950000,          0,          0,          0,          0,          0,          4,          0,         33,         33,         30,          0,          6,        154,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,        154,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          0,         33,         33,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         36,         33,         31,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          5,          2,   6.364865,   7.972222,   4.842105,   2.690789,          0,          0,          0,          7,         60,         35,         50,          6,        136,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,        136,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,         60,         35,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,          1,         33,          8,         77,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          6,      Total,   8.313725,  10.174757,   6.031746,   3.571429,          0,          0,          0,          9,         58,         41,         48,         33,        173,         34,          0,          1,        152,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,        141,          2,          0,          1,        152,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,         58,         41,         48,         32,         32,         32,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          4,         33,          6,        114,         34,         31,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          6,          1,  10.483019,  12.066667,   7.870000,   4.960000,          0,          0,          0,          0,          0,          4,          1,         31,         32,         32,          0,          1,        152,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,        152,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          1,         31,         32,         32,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         35,         34,         31,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          6,          2,   6.371622,   8.006944,   4.822368,   2.657895,          0,          0,          0,          9,         58,         37,         47,          2,        141,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,        141,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,         58,         37,         47,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          4,         33,          6,         79,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          7,      Total,   8.335116,  10.158576,   6.099206,   3.626984,          0,          0,          0,          7,         54,         41,         52,         37,        167,         38,          0,          3,        154,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,        136,          5,          0,          3,        154,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,         54,         41,         52,         34,         31,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         27,          5,         32,         10,        107,         39,         32,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          7,          1,  10.471698,  12.030303,   7.900000,   5.000000,          0,          0,          0,          0,          0,          2,          3,         31,         31,         33,          0,          3,        154,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,        154,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          3,         31,         31,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         30,         37,         32,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
